Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	AverageTestEpC0	StdTestEpC0	MaxTestEpC0	MinTestEpC0	AverageTestEpC1	StdTestEpC1	MaxTestEpC1	MinTestEpC1	TestEpLen
16	3.9286665480229157	0.8162331766661692	6.556896015880629	2.983155940771103	76.23664122137404	2.0077157	1.2713034	4.364174	-1.3571421	170000	-0.84195995	0.35764685	-0.059541345	-0.17781731	-39.290245	-0.011366002	211.53597569465637	9.298448875024912	0.07002615340054064	9.368475028425452	9.228422721624371	-0.12005549963563689	0.0009010569378733457	-0.11915444269776354	-0.12095655657351023	71.0
17	4.66598486104956	0.14294715947330677	5.29216884324327	4.329021012689919	73.77037037037037	1.9130859	0.9610483	2.9654117	-1.3483725	180000	0.25183335	0.1770751	-0.023232028	-0.15951681	-38.420006	0.06292308	223.69206714630127	9.367924063354732	0.34740300446748673	9.715327067822217	9.020521058887244	-0.11682079615071433	0.0016249789111317248	-0.11519581723958261	-0.11844577506184606	72.5
18	5.170516952833494	0.7872990570611871	11.412480419762439	4.303153553567825	74.14925373134328	2.3415327	1.1918218	6.5923123	-1.3544708	190000	0.15660444	0.16758454	0.034506693	-0.058835603	-38.40085	0.016316231	235.1788923740387	10.22630186231807	0.524557751957329	10.750859614275399	9.70174411036074	-0.1364869858883322	0.020682844575494297	-0.1158041413128379	-0.1571698304638265	73.0
19	6.571285963457028	2.6300285938023094	12.724906650446362	4.508913664519787	85.46153846153847	3.0316753	1.5694401	6.754529	-1.2456046	200000	0.85219	0.7693665	-0.0002837777	-0.27285498	-39.13551	0.019186342	247.03040289878845	9.45387795586139	0.4088811029121251	9.862759058773515	9.044996852949264	-0.11659538285806775	0.00016246935352687286	-0.11643291350454088	-0.11675785221159463	72.0
20	6.990695327193089	2.730974720208566	12.437625493425873	4.454036190547049	88.070796460177	3.2690785	1.7165854	6.816548	-1.3480164	210000	0.07785537	0.5467336	-0.016690135	-0.03444475	-39.238632	0.0056176167	259.1414403915405	18.097660772800445	5.691078163906927	23.78873893670737	12.406582608893517	-0.1554806968197227	0.0037408411875365366	-0.15173985563218617	-0.15922153800725924	105.0
21	7.430258710732237	2.933970500919623	12.338212938662616	4.392021332569419	92.17592592592592	3.4885485	1.7992063	6.926608	-1.3184949	220000	0.2464247	0.5938032	-0.029999316	-0.038511455	-39.475296	0.00999999	271.20949959754944	17.043311431072652	5.311366282068195	22.35467771314085	11.731945149004458	-0.15307986961677672	0.004698538351803838	-0.14838133126497288	-0.15777840796858056	99.5
22	7.918035175351209	3.0930869631845717	12.717330027054997	4.389983566813171	96.58252427184466	3.6255386	1.8473115	6.944018	-1.5543026	230000	0.16370498	0.58384275	-0.014149696	-0.030221641	-39.671345	-0.019710157	282.91522240638733	18.40722458371893	6.391022855434569	24.798247439153496	12.016201728284358	-0.15400072971358902	0.005744957122951755	-0.14825577259063727	-0.15974568683654078	103.5
23	7.848875475535435	2.90321333522375	12.487403963841501	4.396618172079325	95.0952380952381	3.6273394	1.9190305	6.9404693	-1.8410728	240000	-0.060762648	0.48845273	-0.019054834	-0.020277828	-39.577656	0.031965483	295.0272943973541	11.315295639336107	0.12437773033976729	11.439673369675873	11.190917908996338	-0.1584227199107407	0.00048631880432375985	-0.15793640110641693	-0.15890903871506445	76.0
24	8.117024022225362	2.89919818470946	12.329735594931988	5.141684653479606	96.91176470588235	3.7048485	1.8971885	6.9237866	-1.786098	250000	0.057259645	0.45345035	0.020062793	-0.020739615	-39.654987	-0.0008047852	307.23241782188416	11.399654291495683	0.4495379821211092	11.849192273616792	10.950116309374573	-0.15950711954385033	0.0009774110093713206	-0.158529708534479	-0.16048453055322165	75.0
25	8.229460716747706	2.9779088770847877	12.273817540258165	5.153359163273127	98.74257425742574	3.7737882	1.9437523	6.937545	-1.916145	260000	-0.03768391	0.44499522	0.015451489	-0.013984144	-39.680576	0.0005898331	319.1838610172272	17.403963396120822	6.189194039572034	23.593157435692856	11.214769356548787	-0.1522786972671748	0.006793833114206893	-0.1454848641529679	-0.1590725303813817	100.0
